File,Accuracy,Precision,Recall,F1 Score
5_mr_result_sorted_top_100_method_end-to-end.csv,0.48,0.48,0.09815950920245399,0.16298811544991512
5_mr_result_sorted_top_100_method_fast.csv,0.45,0.45,0.09202453987730061,0.15280135823429541
5_mr_result_sorted_top_100_method_no-transform.csv,0.53,0.53,0.1083844580777096,0.17996604414261458
5_mr_result_sorted_top_200_method_end-to-end.csv,0.415,0.415,0.16973415132924335,0.2409288824383164
5_mr_result_sorted_top_200_method_fast.csv,0.395,0.395,0.16155419222903886,0.2293178519593614
5_mr_result_sorted_top_200_method_no-transform.csv,0.435,0.435,0.17791411042944785,0.2525399129172714
5_mr_result_sorted_top_300_method_end-to-end.csv,0.37,0.37,0.22699386503067484,0.28136882129277563
5_mr_result_sorted_top_300_method_fast.csv,0.35,0.35,0.2147239263803681,0.2661596958174905
5_mr_result_sorted_top_300_method_no-transform.csv,0.36666666666666664,0.36666666666666664,0.2249488752556237,0.2788339670468947
5_mr_result_sorted_top_400_method_end-to-end.csv,0.3275,0.3275,0.26789366053169733,0.2947131608548931
5_mr_result_sorted_top_400_method_fast.csv,0.3225,0.3225,0.26380368098159507,0.2902137232845894
5_mr_result_sorted_top_400_method_no-transform.csv,0.315,0.315,0.25766871165644173,0.28346456692913385
