TF,Target,Score
26,193,0.1965685158634127
26,102,0.3694679390702058
27,189,0.204818963008906
27,106,0.20577044926771
27,159,0.3282246109023999
27,195,0.1810144074986547
27,138,0.2735322262164588
28,167,0.1875729722990322
28,164,0.2110740619615784
29,141,0.1760905617171174
30,138,0.1820060421817041
30,111,0.1972412913342001
30,178,0.3053800407582303
30,196,0.1838165654080404
30,142,0.1668737883746949
30,154,0.2548855049584634
30,102,0.3628424447169184
31,191,0.2237273321286409
31,163,0.2767812652297817
31,124,0.4612234724318296
31,119,0.29599416961541
32,146,0.257496679326036
32,109,0.2436629815949622
32,192,0.1741133161564299
33,114,0.2925577674211362
33,164,0.2980437349093832
33,170,0.2344109530562723
34,126,0.217247014418091
34,199,0.1830669904896069
34,123,0.3279023425304217
35,187,0.2035384641537379
35,191,0.3195141467760106
35,147,0.1833198318415318
35,166,0.2672030965046884
35,155,0.2832568957259233
35,162,0.3076468884979038
35,139,0.2492968103280117
36,121,0.1717541056800224
36,153,0.2126481993387175
38,172,0.2167387741351564
39,145,0.2356863621480267
39,158,0.2374207734712521
39,107,0.1871360283437435
39,195,0.3740907053877921
39,139,0.270582621025378
39,154,0.1864880108250984
39,153,0.2482485120412356
39,167,0.1893496018662391
40,155,0.1679617535988133
40,185,0.166239856398242
40,176,0.1791264139484056
40,148,0.1792076732223844
40,150,0.2206909681573784
40,151,0.1658439617933197
40,123,0.2867082264177717
40,118,0.370659108786466
40,182,0.2529689058376059
40,179,0.2542200377581221
40,107,0.4273674776761891
41,131,0.2416488869580917
41,154,0.2452033168676926
41,171,0.2252750561661526
42,144,0.3013834465972271
42,122,0.2683464604384858
42,189,0.2173980924450733
42,134,0.182104170733277
42,197,0.1872705841918359
42,114,0.3939794584489807
43,194,0.2377628068178007
43,177,0.1697728964738951
43,127,0.1829794306152192
44,165,0.4683771324965772
44,162,0.2047158973423557
44,108,0.1880284510436441
44,156,0.2485074932652141
44,100,0.1815212006161853
45,178,0.2479682668730991
45,100,0.2352509382367394
45,148,0.2400485147064041
45,176,0.1909541537626072
45,165,0.2612891000624077
46,144,0.2412315468202169
46,163,0.2030815091435008
46,183,0.1662869741494805
46,173,0.1981446032535625
46,118,0.2188344237050986
46,127,0.2075132495618803
48,163,0.2508665223735652
49,185,0.2893583527156204
49,106,0.2002183994712091
49,146,0.181077908939032
50,165,0.1687848589136684
50,120,0.1709307550723998
50,140,0.172689265462272
50,196,0.6044482936141244
50,123,0.323113033911358
51,122,0.1804381542010824
51,163,0.1966714138655805
51,159,0.1668696884162754
51,181,0.42305987239041
51,186,0.2510826464673671
52,141,0.2107154356840164
52,160,0.2769449005294798
52,156,0.4207954772927266
52,176,0.1726778241096371
52,124,0.314283562594124
52,188,0.2054102023189191
52,103,0.5039400458446593
52,189,0.1960973737061488
53,199,0.1712429355103681
53,176,0.2022109965437917
54,100,0.3650827819388341
54,189,0.1666425471675299
54,125,0.2421075063652435
