TF,Target,Score
0,179,0.3110781192404539
0,136,0.1781038961072961
0,143,0.2050092176567862
0,111,0.2825286921145751
0,178,0.2470970296918991
0,172,0.1855801107430758
0,149,0.1928195567429967
0,113,0.1717606521287039
1,116,0.2265960334644372
1,183,0.1774116026422812
1,167,0.1680507753589851
1,164,0.2844350043986384
2,169,0.1833024001529254
2,180,0.2320775608227709
2,160,0.3045236228032954
2,182,0.2988084080331322
2,101,0.1918667304036963
2,190,0.3412891246249974
2,120,0.3413851196676913
2,155,0.2434913853991864
3,189,0.1826300165516701
4,152,0.1816235373460744
4,110,0.3785544806466411
4,138,0.2740351859572633
4,165,0.3598812378760204
4,150,0.5005673132433148
4,190,0.3491769097232914
4,184,0.3013070225810742
4,135,0.1907408975238798
5,112,0.1788757375054891
6,186,0.2481731065345843
6,128,0.2293435511518497
7,122,0.1964385371041256
7,155,0.1963934275790023
7,161,0.3191028090656956
7,175,0.1917788375577875
7,138,0.2894132755704086
7,133,0.3807727484686464
7,169,0.2505079103813636
7,158,0.2606306745849464
7,111,0.3049490191199406
7,193,0.2353894908456229
8,106,0.3737101505432483
8,144,0.2880622743435591
8,162,0.1669789876845315
9,120,0.3126453513557402
9,153,0.2232963625184452
10,198,0.1681782948919403
11,157,0.2656930224011724
11,151,0.2785923331967741
11,152,0.1959179725718143
11,118,0.2038709527928701
11,141,0.2043412374445705
11,168,0.2048727816675158
11,136,0.3646295722532136
11,148,0.2862968118178879
11,174,0.1737278451491151
12,172,0.2030904867752006
12,125,0.6229937601088902
12,158,0.1690181194003087
12,182,0.1696377113389773
12,119,0.2336573347240181
12,175,0.2718318564832233
12,173,0.2252231510243204
12,193,0.1797511139231973
12,134,0.2727845620890647
13,146,0.2674187668991251
13,102,0.1693599347850027
13,145,0.3736986591017212
14,115,0.2644041790372558
14,146,0.2474821954198584
14,191,0.2952835389694494
14,169,0.1774071548520621
14,111,0.2102994064150846
14,196,0.2320171363739168
14,140,0.3393123871699533
15,132,0.1673531819006466
15,152,0.2244707593189508
15,106,0.2220018898102846
15,187,0.4512881624808829
15,169,0.260823873036671
16,110,0.3236255641343479
16,107,0.2636683724834308
16,180,1.0
16,179,0.2062348561927695
16,183,0.7280251870704331
16,188,0.6975438404841812
16,154,0.1685599748266981
16,111,0.1758035213769391
16,197,0.17600856769459
16,120,0.1760907472458282
16,172,0.3373833997623102
16,169,0.2660662250848659
16,123,0.3630508918582293
16,166,0.1943185334113989
17,140,0.1660978867810282
17,193,0.2481383412664974
17,102,0.201637629291751
17,113,0.2906949617750486
18,149,0.3050297798805994
18,108,0.1721523586680467
18,105,0.1784829093493615
18,199,0.4170305101610741
18,162,0.1675325178022447
18,135,0.1868528122361867
19,134,0.2138000892589564
19,122,0.2657248324275797
19,120,0.2482811364019883
19,132,0.1875227645857631
20,145,0.1947585354073462
21,181,0.1704946316500128
21,126,0.272792494687997
21,151,0.2098066500914461
21,156,0.2643379926395696
21,175,0.2245401306367835
21,173,0.3691088180920877
22,101,0.5507731856228028
22,198,0.2112965715694245
23,103,0.2165200161089207
23,165,0.1736273506695444
23,142,0.2254173730862004
23,171,0.1846193526690073
23,193,0.1867594610582028
24,145,0.2155628904900275
24,189,0.4460419425897551
24,128,0.4313415517021265
25,112,0.2906874654475676
25,130,0.274211972754408
25,133,0.2345836236700907
25,179,0.2272937732214282
25,117,0.2075541422963224
26,160,0.179462021984392
26,102,0.3678087538041668
26,147,0.190750093485278
26,193,0.1956392985739105
26,158,0.1931023280455536
26,174,0.3359130684322703
26,192,0.2331629277890558
27,159,0.3298245712439284
27,195,0.1819238517408538
27,138,0.2738143923652984
27,106,0.2077626543944566
27,189,0.2040923292227071
28,164,0.2130016317285564
28,167,0.1889223919475927
29,141,0.1752340448927055
30,111,0.1963139848341597
30,154,0.2532131850308358
30,196,0.1817404197075231
30,138,0.1817105953620692
30,142,0.1657955008616282
30,178,0.3052709302591652
30,102,0.3582471361339883
31,191,0.2214614096031127
31,124,0.4567257502906321
31,119,0.2943511881903254
31,163,0.2753977476228815
