TF,Target,Score
0,172,0.1832613213236796
0,179,0.3011309037201152
0,143,0.2055967175399234
0,178,0.2398618926332458
0,111,0.2784950225781373
0,149,0.1830141869762632
1,116,0.2198777532962346
1,164,0.2944432535895866
1,183,0.1709507689780617
1,108,0.1719543830652634
2,160,0.2968545299855144
2,182,0.3133895304013557
2,155,0.256748750211562
2,101,0.1860047411147227
2,120,0.3359039883830521
2,180,0.2354488585224678
2,169,0.185949812059144
2,190,0.3421823646871254
3,189,0.1721287861613073
4,110,0.3770411406360491
4,150,0.4910064057587704
4,138,0.2689967590912596
4,135,0.1979109653229757
4,190,0.3251579405543818
4,184,0.2878928259748324
4,152,0.1865747486432278
4,165,0.3485270299995288
6,186,0.2542074878652826
6,128,0.2358535186437665
7,111,0.2910777812570287
7,133,0.3333582644336476
7,155,0.174766820902547
7,138,0.2769434434990548
7,193,0.2041855690466787
7,175,0.2073598760334934
7,161,0.3040329762403728
7,169,0.2200892044639409
7,122,0.1917286034639035
7,158,0.229290248715242
7,198,0.1737474766833364
8,106,0.3493862258466928
8,144,0.2800658612600646
9,120,0.3128374372370661
9,153,0.234155243426606
10,198,0.1670199043686128
11,148,0.3020676413146512
11,152,0.2006205586817955
11,136,0.3840670872035575
11,151,0.29619726424535
11,141,0.2190746955689185
11,168,0.2120475079250223
11,157,0.2649182946592856
11,118,0.2065889879536368
11,174,0.1737785516234241
12,182,0.173031477606036
12,119,0.2287566011395761
12,125,0.5879536823743824
12,193,0.1725640714322502
12,158,0.1691195594728563
12,173,0.2310897228101512
12,134,0.2723558234356044
12,175,0.2739570637030231
12,172,0.1962378675100838
13,146,0.2643898330604675
13,145,0.3779856316246927
13,102,0.1876829905342462
14,191,0.2961549139280386
14,111,0.2198124117659255
14,196,0.2401516869295867
14,169,0.1782698137808326
14,140,0.3533167005737153
14,146,0.245819562667692
14,115,0.2860289294104578
15,152,0.2033323382415411
15,187,0.4172103888357129
15,169,0.2522713685970695
15,106,0.207475647227917
16,107,0.2522093418106308
16,179,0.2173174863298924
16,172,0.3120065584780186
16,169,0.259150091442382
16,111,0.1881253474511882
16,166,0.1976281080953847
16,180,1.0
16,197,0.1758812929513377
16,123,0.3924586464151892
16,188,0.6951087848508353
16,183,0.7247023485309413
16,110,0.3423576118025724
16,120,0.1802624438251687
17,193,0.2455792422553506
17,140,0.1688275527017138
17,113,0.279847577623732
17,102,0.2052766601349031
18,108,0.1770740322544255
18,135,0.1902866179022
18,199,0.414802683180735
18,105,0.1802302288608133
18,162,0.176170988521207
18,149,0.3040048410109783
19,134,0.2844662496682741
19,120,0.36205758803188
19,122,0.2477473857523994
19,132,0.1855970846527671
20,135,0.1687673680656093
20,145,0.1910517501243074
21,156,0.2545725750237245
21,175,0.1986376608538858
21,126,0.2484541595245576
21,151,0.2116755642343004
21,173,0.3284623852981967
22,101,0.5380499831751786
22,198,0.201209179431212
23,103,0.2034435840031596
23,193,0.1822336066926665
23,171,0.2014069304949225
23,165,0.1805318473357142
23,142,0.2272663961786964
