TF,Target,Score
0,196,0.5542222628373585
0,114,0.3723910448783142
0,131,0.3816893381237714
0,138,0.3488999565502452
0,198,0.4747578644758383
0,111,0.6531471576907478
0,185,0.3099448994434192
1,173,0.4626373643975009
1,137,0.3820522620198998
1,139,0.3231450952047058
1,106,0.5449578696031383
1,190,0.4876269432753137
2,135,0.488261532258337
2,139,0.444424189698503
2,100,0.4103590770798673
2,121,0.5013184583763526
2,181,0.5119100254082382
2,154,0.5871836805084941
2,153,0.3755748891336508
2,115,0.3068528902482845
3,112,0.3171588963453298
4,161,0.3708852972449939
4,166,0.3101352972870805
4,135,0.3181040171066557
4,128,0.4185786453337684
4,133,0.3216507457234969
4,156,0.4510073523974744
5,197,0.4486818254244819
5,102,0.3105834509604602
5,171,0.4814648541508129
5,149,0.3754408315307607
5,134,0.3743050867549019
5,125,0.5427982744667259
5,132,0.3200157197434801
5,126,0.4040321250618926
6,187,0.3257257042111168
6,151,0.4222323915309521
7,187,0.3654498139837999
7,125,0.5294622081826426
7,157,0.3064974685795468
7,171,0.8088148705469708
7,197,0.4449893460601303
7,169,0.3197087812720501
7,117,0.4045164749853451
7,134,0.3754243668179086
7,149,0.3129961760673361
7,155,0.3747835087812324
8,192,0.4584583521400274
8,140,0.3415252324221348
8,110,0.3043367650845641
9,164,0.3556853800703839
9,120,0.4487273732778132
9,112,0.3132113164459751
9,184,0.5550210667306364
9,136,0.4768900367095491
9,142,0.3539239223180628
10,112,0.4697945139897511
10,100,0.6629449959640646
10,154,0.3583639166899804
10,160,0.7192660771196336
10,121,1.0
10,115,0.7818373365337253
10,181,0.5473191873644168
11,198,0.4595218978857675
12,109,0.3489500495364192
12,175,0.3085610350582999
12,156,0.6497502229524295
12,107,0.5745219976478462
12,108,0.4384537791835486
12,101,0.4489100556123966
13,146,0.4767166731115406
13,180,0.5703911950815227
13,102,0.3207753556178237
13,199,0.4236899577130745
13,127,0.7738370633754937
13,178,0.313285586782863
14,112,0.4496586548471446
14,123,0.4994336088160352
15,138,0.3169905166717578
15,106,0.3163882830461027
15,104,0.3653736746536062
16,186,0.3079401581485839
16,129,0.686982253200468
16,149,0.3217852586518659
16,182,0.4249049281529886
16,173,0.5045541956824348
16,138,0.4473883054056242
16,199,0.3719007574918204
17,174,0.3391379079267653
17,142,0.4532557171152624
17,143,0.5010030690453791
17,149,0.3991074200083958
17,117,0.3080572410742281
18,188,0.3646443685292523
18,174,0.3232172973335243
18,108,0.4842963068563648
18,139,0.4793297070539873
18,166,0.3173775200349408
19,193,0.4258598395278285
19,159,0.3128136774997386
19,187,0.4876488131729424
19,118,0.3225651830218779
19,183,0.3697953201729004
19,174,0.365466747309049
19,194,0.4852967033073606
20,149,0.3410242194861305
20,114,0.3568854478153887
20,116,0.5337740989523259
20,199,0.304989065279498
20,165,0.3050894390940045
20,157,0.4465580993090511
20,148,0.3744345061166014
21,111,0.3670900822669898
21,146,0.3469366875864204
21,114,0.3249721727359079
21,103,0.3065149567502545
21,122,0.4356981179303103
22,118,0.4811245612578398
23,145,0.3624589227871398
23,105,0.3275301749451165
24,180,0.4436584260779643
24,198,0.3086526904743936
24,111,0.5506567232549427
24,102,0.7095955078366992
24,152,0.4155498607645542
24,127,0.4991376697417996
25,175,0.323507204506831
25,144,0.4438246234580797
25,142,0.553283001875973
25,162,0.3151551779327362
25,184,0.3045399640003248
25,125,0.3085799604906583
25,116,0.4384202060912655
25,113,0.414484185484068
26,177,0.3222123072943476
26,126,0.343107200702263
26,131,0.6200595628445366
26,105,0.3474735646892499
26,107,0.3090497624242064
26,157,0.3665834783580964
26,135,0.3242082710645292
26,120,0.3640499709123154
26,153,0.4765652076762236
26,127,0.3309162723131796
27,196,0.4742857216819303
27,113,0.4922747467874914
28,186,0.321628902593742
28,198,0.3344809466604223
28,189,0.448240667111909
28,144,0.3571163404854476
29,199,0.3347302698763188
29,164,0.3377211266953986
29,172,0.3417499564036483
29,168,0.389411900662343
29,147,0.4557017567279142
29,180,0.7066193500761234
29,178,0.3223297547601441
30,171,0.6262475778279736
30,197,0.4079130545727084
30,155,0.6735473059561791
30,189,0.3108736773614568
30,125,0.3153734879633567
31,121,0.3264069353371868
31,184,0.4152720552747648
31,169,0.4000829388791309
32,150,0.4731765265052012
32,120,0.317952867533181
32,167,0.4183327744185603
32,187,0.3427971558591347
32,151,0.4434633926969963
32,141,0.4018151065955592
32,164,0.4000165762695551
33,149,0.3270045094334517
33,190,0.3480425617945955
33,185,0.3467014283134556
33,171,0.3184322362841882
33,188,0.4874477976010852
33,165,0.4178583883448556
33,199,0.3680946496308486
34,174,0.772687226676714
34,126,0.468275663215722
34,115,0.4752096284826129
34,178,0.5850148608136424
34,194,0.3225726688509323
34,128,0.7911385194271682
35,140,0.3654553835349072
35,190,0.4479022436981892
35,151,0.3227296057659673
35,119,0.3401644969619123
35,164,0.5700718812041764
35,136,0.5462878202471702
36,108,0.3741706135762311
37,112,0.3751415410276721
37,195,0.4052242827374993
37,120,0.439656795346739
37,137,0.3866417860655823
38,102,0.3254737061043744
38,146,0.3807319801847673
38,111,0.3130211083893541
38,159,0.3188538154344371
38,133,0.5596218750876144
39,166,0.3509941051383969
39,128,0.3061039427752499
40,196,0.3312607982273812
40,189,0.3373569962812244
41,105,0.4096372975067726
41,176,0.4100101060369094
41,126,0.3354626866716358
42,154,0.3463546540056222
42,183,0.4777520998857514
42,193,0.3374839041931172
42,143,0.327223738878745
42,178,0.3295626646096126
43,130,0.5948566672684816
43,197,0.3292938024102145
43,140,0.3054224673261181
43,124,0.3481013529613079
43,135,0.3364310265798962
44,131,0.3983289114032992
44,151,0.3154856396790517
44,182,0.3217784604513303
44,196,0.4046905382410886
44,111,0.3791464286681394
44,109,0.3521569137458555
45,163,0.3457170101745253
45,177,0.3625175881843524
45,172,0.3610216884247398
45,166,0.5002739062048173
46,137,0.3415093367501565
46,179,0.490257402792535
46,112,0.3089888111571471
47,164,0.3895464997210221
47,137,0.4511939898706767
47,153,0.5477456595968287
47,138,0.3505401717281745
47,141,0.8787232894491941
48,116,0.3164948743271702
48,138,0.3517793513780192
48,181,0.4336687539180702
48,193,0.3423747048175078
48,165,0.4112255346846976
49,119,0.4350480240574338
49,196,0.3347413101273435
49,104,0.5922130712450955
49,163,0.3921376974333773
49,169,0.3465023448444526
49,160,0.4029110819539596
50,148,0.4152041579956519
50,160,0.3299359987601177
50,149,0.3680129997577473
51,150,0.4183497457263574
51,178,0.3353108249160003
51,199,0.3570234724141086
51,117,0.3677359492769966
51,157,0.3061436624764575
51,171,0.3960139577278633
51,170,0.3958514782219404
51,168,0.3157341851450058
51,177,0.7316539297061766
51,160,0.5913756237951263
52,177,0.4534959628448424
52,127,0.3157382332310097
52,108,0.4743948132718467
53,198,0.5510435841429913
53,128,0.3568082059689612
53,165,0.3118348205550597
53,174,0.4552818713558547
54,122,0.324044376717274
54,145,0.3754113470698738
54,140,0.3165677576939523
54,180,0.3683386021178938
54,158,0.3628593085120134
55,132,0.4380073774756834
55,163,0.3173146004739675
55,141,0.3068987997158298
55,176,0.3596395665923699
55,167,0.3969053854174973
56,103,0.3162789060489948
56,102,0.3286564176944041
57,177,0.4822874579491801
57,190,0.3273692110733179
57,127,0.6663242430269752
57,152,0.5312281844790903
58,111,0.3956977246591028
58,190,0.319950633630011
59,128,0.4831288340479446
59,147,0.5216318145851251
59,140,0.4112663980968374
59,172,0.3075452987585046
59,194,0.4911834689206741
59,110,0.4789210963312181
59,182,0.3676708706449994
60,163,0.4290902462328571
60,108,0.3254134151342233
60,182,0.5541280930311517
60,176,0.3622500592082249
60,167,0.3732003101562726
60,158,0.4150717138671738
60,184,0.409179018480904
60,188,0.3326418117312601
60,164,0.3074100942554856
60,135,0.5404276552413356
61,189,0.4631674853676988
61,182,0.4128242774849835
61,109,0.4854753426137958
61,132,0.3573134617037581
61,105,0.4036485354025825
61,149,0.3052041096991111
61,196,0.332762914077814
61,183,0.3430275208007137
63,104,0.4139142779290958
63,160,0.3841723615334378
63,159,0.6240676284963312
64,137,0.3831712836872871
64,146,0.3660420997668477
64,139,0.3043510826278329
64,174,0.3235118151196005
65,116,0.3121678533877343
65,185,0.3284451478327629
65,199,0.4152506194946133
66,100,0.3391821133484167
66,130,0.4338378424059077
66,134,0.3159564220971043
66,187,0.3317779909701215
66,168,0.5437689047020512
66,171,0.3223948010433596
66,193,0.43151158138053
66,101,0.5058216043790026
66,104,0.4114179012496162
67,101,0.4436359365444032
67,157,0.3152820566422152
67,177,0.6622869795850436
67,166,0.4154220775110563
67,168,0.4109442146143458
67,189,0.3246503671474764
67,134,0.3886273929043505
67,170,0.3383286886619296
67,148,0.5128708675417838
68,153,0.3644380732805123
68,133,0.3138999144044238
68,183,0.3165621286679234
68,158,0.392387546241569
68,195,0.4833625347158906
68,126,0.3217301019896291
69,119,0.3050513363316716
69,124,0.3337840891058818
69,109,0.3172977680954656
69,135,0.3427443859747067
69,103,0.3076891872631794
69,121,0.31354908217042
69,107,0.3222158934816752
70,136,0.3092518212675318
70,175,0.3293760925712354
70,125,0.3112520997188367
71,165,0.4039837170376029
72,155,0.3350512804243554
72,171,0.3397760762930446
72,187,0.3049756461141781
72,150,0.3105552122097517
72,125,0.3224233469250709
73,101,0.672155497157632
73,164,0.4996921515947267
73,187,0.6318265813265136
73,151,0.4590385944890508
73,176,0.3305364657344355
73,158,0.5596169055064762
74,193,0.3422449013614824
74,152,0.333425988399165
74,124,0.3066351070162196
74,194,0.328050694284777
74,167,0.5154434326112125
74,118,0.3568939068661749
75,109,0.3741793460875212
75,169,0.3791442984802816
75,182,0.3960690692042662
75,185,0.3327461368225856
75,123,0.5238656170909157
75,183,0.3428446562918775
75,194,0.4800077211668097
75,189,0.3412842704083316
76,103,0.452348577470983
76,164,0.3334634727146818
76,124,0.3342819107214455
76,148,0.3652637263244904
76,136,0.4303339277898462
77,119,0.3611842942279992
77,191,0.3524995460721554
77,136,0.3836957342552966
77,184,0.3332297134669697
77,181,0.3729760403633942
78,151,0.3416674021384685
78,131,0.4769251690177989
78,175,0.3458250375653574
78,128,0.3295216104104986
78,105,0.3244762088469665
79,185,0.599027689282012
79,129,0.3769508467989898
79,186,0.4664707749578777
79,122,0.4167043424549153
79,170,0.3965773499013465
80,104,0.3634411882919414
80,159,0.5660851966665386
80,114,0.6834365573352514
80,121,0.3851089636109144
80,106,0.5660924634259186
80,149,0.3395061053492613
80,146,0.3695952787077921
80,102,0.3314058931331526
80,197,0.4088272876462817
80,120,0.6353242084056708
80,142,0.4036373631827945
81,152,0.3798215348749
81,198,0.3186968072585256
81,102,0.4716254736054341
81,111,0.4385278591945894
81,164,0.332751873625368
81,127,0.3321066953140423
