TF,Target,Score
0,198,0.4816598863451974
0,114,0.3582733000494668
0,138,0.3502361979208878
0,111,0.6486019919421722
0,131,0.3822365196910828
0,196,0.5486987332495638
1,106,0.5652253444216041
1,139,0.3549669170114712
1,137,0.3966800216247417
1,173,0.473758589104738
1,190,0.5235222718679685
2,139,0.4231656822674118
2,121,0.4978106231579382
2,135,0.4806133600162514
2,153,0.3653958450101762
2,117,0.343028276954162
2,154,0.5761607359224121
2,181,0.4950646896641988
2,100,0.4299060983411291
3,112,0.3235082096554968
4,156,0.5110231417230042
4,128,0.4350338531090182
4,149,0.311129691402283
4,166,0.3086405589055771
4,161,0.3999873294900282
4,135,0.3527084139274747
4,133,0.4190120659064427
5,171,0.4913352085530431
5,102,0.3416401971943666
5,149,0.3618109077589739
5,132,0.3143088773731999
5,197,0.4723412369340518
5,125,0.5250013262392488
5,134,0.3590108936032303
5,126,0.3931107774476829
6,187,0.3441443640202299
6,151,0.4232115528564035
6,148,0.3113884714766791
7,125,0.5380516956757769
7,149,0.3578397286500141
7,171,0.821022284353464
7,155,0.401746314563614
7,187,0.3855967309656161
7,186,0.3127714686534499
7,134,0.3751942600894561
7,169,0.3243154273484168
7,197,0.4538412298903665
7,117,0.3817064028756475
8,140,0.3354595456394919
8,174,0.3114003262129161
8,192,0.4670906907449058
9,142,0.3764666907604836
9,164,0.3887356355044497
9,184,0.5761362774860314
9,120,0.4585314123626492
9,136,0.4965870206774962
9,112,0.3206134358795361
10,154,0.3560349245744117
10,112,0.4546784600551625
10,121,1.0
10,181,0.5357778371889437
10,160,0.7268943975660594
10,100,0.6844588989911056
10,115,0.7654155242486821
11,198,0.4631743624739027
12,108,0.463489125497191
12,101,0.4642958992345103
12,107,0.5784961752493534
12,174,0.3111566835916116
12,109,0.3375903334639797
12,156,0.7096853995598676
13,146,0.5037192426081288
13,127,0.7818702704051084
13,178,0.3468952715763065
13,199,0.4358470892311134
13,121,0.3112460505448374
13,180,0.5810813188088223
13,102,0.3493155467284753
14,123,0.484795876355543
14,112,0.446466700814616
15,106,0.3404503938733114
15,104,0.3738712237680208
15,138,0.3292590477030236
16,106,0.3293046152666195
16,138,0.4640809851502981
16,173,0.5124768051209052
16,129,0.7007687997575862
16,199,0.3877584961905814
16,182,0.4509242526145977
16,186,0.3088511701342067
16,149,0.3234565332257037
17,149,0.4075222805452325
17,117,0.3166276867575368
17,143,0.4976430637943866
17,174,0.337200079239482
17,142,0.4685505019008472
18,188,0.3762659977725047
18,166,0.3178342548248623
18,139,0.486800495145004
18,108,0.4885514830086429
18,174,0.3239732837378011
19,193,0.4450254395613308
19,159,0.3190277780218249
19,118,0.3289309866486402
19,187,0.5012817810978162
19,183,0.3722211133017131
19,194,0.4789080918078515
19,174,0.3687560230296545
20,149,0.3276553549112066
20,116,0.5479135909870227
20,114,0.3564438487914943
20,148,0.414660670348305
20,155,0.3134660256292361
20,199,0.3390560402255916
20,157,0.4567552001785019
21,114,0.3661151715131541
21,128,0.3301829542776818
21,122,0.4626969363377459
21,101,0.3237356905094325
21,159,0.3303564036986866
21,103,0.3476476313345809
21,146,0.3715927265570074
21,111,0.4009788501696728
22,118,0.5003942022123624
23,145,0.3596862721504811
23,182,0.3122749773851823
23,105,0.3307277511426598
24,198,0.3188942016712973
24,180,0.4186905445487819
24,127,0.5217033058967694
24,152,0.4223071948051605
24,102,0.7105294963335155
24,111,0.5282686514586922
25,144,0.4965483881097072
25,162,0.3272427820138917
25,142,0.6233799276058425
25,115,0.3226274318966708
25,184,0.3117260277790332
25,175,0.3407688911324784
25,125,0.337872346092654
25,116,0.486661843292571
25,113,0.4293449527655529
26,120,0.3930552616512182
26,105,0.3455576399809457
26,157,0.3639529721179307
26,127,0.3343683610470159
26,131,0.6209608373824911
26,135,0.3348618534761524
26,177,0.3258182177605451
26,153,0.4863877998816311
26,126,0.3392969715934547
27,196,0.4451040170306117
27,113,0.4805593791326419
28,189,0.4514043048299553
28,144,0.3596046665980699
28,186,0.3179882432094273
28,198,0.3379322345760946
29,168,0.3963165752949152
29,199,0.3552572811932168
29,147,0.4858691034093158
29,178,0.3521157507390818
29,180,0.7067805821499173
29,164,0.357844111698728
29,172,0.3575718724095071
30,168,0.325764170131066
30,197,0.4122934450556671
30,125,0.3297832142432121
30,189,0.3277050945660054
30,171,0.6300778181662245
